"REF_ID","SOURCE_NAME","TARGET_COHORT_DEFINITION_ID","TARGET_NAME","TAR_ID","TAR_START_WITH","TAR_START_OFFSET","TAR_END_WITH","TAR_END_OFFSET","SUBGROUP_ID","SUBGROUP_NAME","OUTCOME_ID","OUTCOME_COHORT_DEFINITION_ID","OUTCOME_NAME","CLEAN_WINDOW","AGE_ID","AGE_GROUP_NAME","GENDER_ID","GENDER_NAME","START_YEAR","PERSONS_AT_RISK_PE","PERSONS_AT_RISK","PERSON_DAYS_PE","PERSON_DAYS","PERSON_OUTCOMES_PE","PERSON_OUTCOMES","OUTCOMES_PE","OUTCOMES","INCIDENCE_PROPORTION_P100P","INCIDENCE_RATE_P100PY"
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",8532,"FEMALE",2018,561513,561513,741716718,741716718,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,8532,"FEMALE",2019,1541471,1541471,1360631406,1360631406,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",8532,"FEMALE",2018,229728,229728,204892485,204892485,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",8532,"FEMALE",2019,431652,431652,488995260,488995260,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",8532,"FEMALE",2018,627883,627883,560256490,560256490,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",8532,"FEMALE",NA,1110260,1110260,1162416104,1162416104,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,8532,"FEMALE",2017,5577300,5577300,7295727387,7295727387,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",8532,"FEMALE",2019,309541,309541,217713188,217713188,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,8532,"FEMALE",NA,8851040,8851040,10414428664,10414428664,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",8532,"FEMALE",2019,217345,217345,178890369,178890369,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",8532,"FEMALE",2017,871073,871073,840141236,840141236,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",8532,"FEMALE",2018,330405,330405,251204178,251204178,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",8532,"FEMALE",2017,2001622,2001622,3264758021,3264758021,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",8532,"FEMALE",2019,582933,582933,475032589,475032589,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",8532,"FEMALE",NA,3243239,3243239,3447483959,3447483959,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,8532,"FEMALE",2018,1749529,1749529,1758069871,1758069871,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",8532,"FEMALE",NA,1507367,1507367,1309058602,1309058602,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",8532,"FEMALE",2017,2039284,2039284,2412194880,2412194880,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",8532,"FEMALE",2017,665321,665321,778633250,778633250,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",8532,"FEMALE",NA,2991439,2991439,4495469999,4495469999,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",8507,"MALE",NA,1609687,1609687,1418306677,1418306677,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",8507,"MALE",2019,226822,226822,186579819,186579819,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,8507,"MALE",2019,1491365,1491365,1276086117,1276086117,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,8507,"MALE",NA,8363712,8363712,9479295867,9479295867,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",8507,"MALE",2018,418746,418746,543670101,543670101,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",8507,"MALE",2017,696447,696447,815256867,815256867,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",8507,"MALE",NA,2260283,2260283,3317258381,3317258381,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",8507,"MALE",2019,334860,334860,373435460,373435460,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",8507,"MALE",NA,1161896,1161896,1216801788,1216801788,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",8507,"MALE",2018,240869,240869,214965102,214965102,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",8507,"MALE",2019,328392,328392,232169636,232169636,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",8507,"MALE",2017,2078451,2078451,2464802576,2464802576,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,8507,"MALE",2018,1672227,1672227,1606804851,1606804851,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",8507,"MALE",2018,660608,660608,578225243,578225243,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,8507,"MALE",2017,5217253,5217253,6596404899,6596404899,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",8507,"MALE",NA,3333139,3333139,3526929021,3526929021,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",8507,"MALE",2017,1509090,1509090,2400152820,2400152820,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",8507,"MALE",2019,601291,601291,483901202,483901202,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",8507,"MALE",2018,352004,352004,269944405,269944405,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",8507,"MALE",2017,933265,933265,916192636,916192636,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,NA,NA,2017,10794553,10794553,13892132286,13892132286,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",NA,NA,2018,682409,682409,521148583,521148583,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",NA,NA,2018,980259,980259,1285386819,1285386819,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",NA,NA,NA,2272156,2272156,2379217892,2379217892,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",NA,NA,2019,444167,444167,365470188,365470188,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",NA,NA,2018,1288491,1288491,1138481733,1138481733,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",NA,NA,2019,1184224,1184224,958933791,958933791,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",NA,NA,2017,1361768,1361768,1593890117,1593890117,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",NA,NA,2017,1804338,1804338,1756333872,1756333872,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",NA,NA,NA,5251722,5251722,7812728380,7812728380,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,NA,NA,NA,17214752,17214752,19893724531,19893724531,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,1,"<17",NA,NA,2018,470597,470597,419857587,419857587,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",NA,NA,NA,3117054,3117054,2727365279,2727365279,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",NA,NA,NA,6576378,6576378,6974412980,6974412980,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,2,"17 - 33",NA,NA,2019,637933,637933,449882824,449882824,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,NA,NA,2019,3032836,3032836,2636717523,2636717523,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",NA,NA,2017,3510712,3510712,5664910841,5664910841,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,3,"34 - 64",NA,NA,2017,4117735,4117735,4876997456,4876997456,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,4,">=65",NA,NA,2019,766512,766512,862430720,862430720,0,0,0,0,0,0
1,"Optum Extended DoD (v2434)",8334,"At risk, 2016+",1,"start",0,"start",9999,0,"All",1,3417,"Autism",9999,NA,NA,NA,NA,2018,3421756,3421756,3364874722,3364874722,0,0,0,0,0,0
